Cantidad de nodos, Score de entrenamiento, Score de test
3,0.536193029491,0.59375
5,0.536193029491,0.59375
7,0.544235924933,0.547916666667
9,0.55764075067,0.49375
11,0.563002680965,0.479166666667
13,0.580875781948,0.535416666667
15,0.580875781948,0.535416666667
17,0.591599642538,0.53125
19,0.612153708668,0.554166666667
21,0.621983914209,0.510416666667
23,0.629133154602,0.552083333333
25,0.636282394996,0.55
27,0.638963360143,0.547916666667
29,0.638963360143,0.547916666667
31,0.645218945487,0.545833333333
33,0.648793565684,0.547916666667
35,0.650580875782,0.545833333333
37,0.660411081323,0.583333333333
39,0.663985701519,0.6
41,0.667560321716,0.595833333333
43,0.67381590706,0.591666666667
45,0.681858802502,0.6
47,0.683646112601,0.602083333333
49,0.687220732797,0.602083333333
51,0.688114387846,0.602083333333
53,0.690795352994,0.6
55,0.69436997319,0.602083333333
57,0.697050938338,0.602083333333
59,0.698838248436,0.595833333333
61,0.702412868633,0.595833333333
63,0.70509383378,0.6
65,0.706881143878,0.597916666667
67,0.709562109026,0.597916666667
69,0.711349419124,0.6
71,0.713136729223,0.6
73,0.714924039321,0.6
75,0.717605004468,0.597916666667
77,0.719392314567,0.602083333333
79,0.719392314567,0.602083333333
81,0.725647899911,0.60625
83,0.728328865058,0.604166666667
85,0.728328865058,0.602083333333
87,0.730116175156,0.6
89,0.731903485255,0.6
91,0.733690795353,0.602083333333
93,0.733690795353,0.6
95,0.73726541555,0.60625
97,0.739052725648,0.604166666667
99,0.741733690795,0.610416666667
101,0.745308310992,0.602083333333
103,0.745308310992,0.604166666667
105,0.748882931189,0.604166666667
107,0.750670241287,0.60625
109,0.750670241287,0.610416666667
111,0.754244861483,0.6125
113,0.756032171582,0.604166666667
115,0.758713136729,0.610416666667
117,0.760500446828,0.610416666667
119,0.762287756926,0.604166666667
121,0.759606791778,0.610416666667
123,0.761394101877,0.608333333333
125,0.763181411975,0.610416666667
127,0.766756032172,0.602083333333
129,0.764968722073,0.602083333333
131,0.766756032172,0.6125
133,0.770330652368,0.6
135,0.773011617516,0.60625
137,0.773905272565,0.602083333333
139,0.776586237712,0.595833333333
141,0.77926720286,0.6
143,0.778373547811,0.602083333333
145,0.783735478105,0.608333333333
147,0.788203753351,0.602083333333
149,0.7890974084,0.604166666667
151,0.791778373548,0.60625
153,0.794459338695,0.595833333333
155,0.793565683646,0.602083333333
157,0.796246648794,0.604166666667
159,0.797140303843,0.604166666667
161,0.796246648794,0.6
163,0.798033958892,0.60625
165,0.797140303843,0.60625
167,0.797140303843,0.604166666667
169,0.803395889187,0.6
171,0.803395889187,0.597916666667
173,0.806076854334,0.595833333333
175,0.805183199285,0.597916666667
177,0.807864164433,0.59375
179,0.809651474531,0.6
181,0.812332439678,0.597916666667
183,0.812332439678,0.589583333333
185,0.814119749777,0.602083333333
187,0.814119749777,0.597916666667
189,0.818588025022,0.591666666667
191,0.822162645219,0.589583333333
193,0.82126899017,0.589583333333
195,0.823949955317,0.595833333333
197,0.823949955317,0.589583333333
